precipitation,cases
0,91
"7,2",147
0,251
"0,2",294
"18,4",329
0,413
0,493
2,457
"0,2",416
"79,4",546
1,573
0,649
0,607
"0,2",704
"1,8",711
"57,8",621
"7,2",741
"15,6",715
"4,4",742
"9,6",710
0,695
0,904
0,917
0,804
0,795
"5,8",758
0,781
0,908
0,870
0,802
0,901
"25,2",736
"1,2",840
"1,6",595
"5,6",672
"0,2",656
0,613
"0,6",701
"15,4",564
"0,4",496
"47,2",521
"3,4",566
1,512
0,500
0,506
"0,2",464
0,453
0,409
0,446
"33,6",411
"5,8",529
0,453
"9,6",405
20,460
0,311
"0,2",396
0,351
0,345
"40,8",428
"9,6",304
0,284
0,284
0,321
"10,4",291
0,283
0,240
0,215
0,276
0,199
0,287
"0,6",219
"10,6",220
"8,8",228
0,133
13,238
"11,2",141
"55,8",180
"17,8",158
"3,8",162
"3,8",133
0,140
0,109
"36,4",112
0,137
"9,8",142
0,104
0,179
0,65
0,188
0,64
"0,8",119
0,79
20,109
"22,8",104
35,91
"51,2",80
"14,4",69
"24,2",80
"0,2",62
"1,8",80
0,100
0,68
"48,2",55
9,52
0,86
0,63
0,112
0,94
0,68
0,57
0,44
0,59
0,62
0,58
0,58
0,26
0,44
0,43
0,39
0,42
0,37
0,31
0,35
0,27
0,21
"7,6",32
0,17
0,13
0,29
0,23
0,36
0,26
0,35
0,35
0,37
0,33
"2,8",20
0,25
0,31
0,40
0,27
"0,2",33
0,25
0,36
0,20
0,24
0,23
"0,6",40
"0,6",24
"3,4",22
0,15
0,12
"22,8",21
"18,8",23
"0,2",16
0,17
0,10
0,14
0,20
0,16
0,21
"9,8",10
0,19
0,19
0,19
0,13
"10,4",11
"46,2",5
0,11
0,14
6,48
"0,6",10
"2,8",11
0,11
0,11
0,11
"8,8",15
56,17
0,19
0,21
0,7
28,11
"16,6",10
0,36
0,16
0,14
0,19
0,21
0,15
0,10
0,21
0,11
0,8
0,12
0,11
0,17
0,17
0,12
0,18
0,5
0,11
0,11
"6,4",1
0,2
0,0
0,11
0,4
0,3
0,3
0,9
0,10
0,3
0,5
0,13
0,9
0,6
0,12
0,6
0,12
0,7
0,3
0,6
0,7
0,3
0,4
0,3
0,11
0,4
0,4
0,7
0,11
0,3
0,6
0,10
0,6
0,3
0,4
0,2
0,6
0,6
0,6
0,7
0,2
0,7
5,5
"18,4",12
0,3
0,8
0,8
0,3
0,4
"0,4",3
0,8
0,4
0,4
0,11
0,4
0,5
0,11
17,5
"11,6",6
"0,6",8
0,12
0,2
"6,6",10
1,8
"0,8",4
0,5
0,5
0,8
0,3
"29,4",4
0,7
"11,2",5
"6,2",7
"0,2",9
"42,2",11
"4,8",3
0,6
0,7
0,4
0,3
0,2
3,4
"8,6",4
0,4
"4,6",3
"13,2",3
"0,4",8
0,5
0,4
0,1
0,9
0,6
"31,2",6
0,5
0,4
"0,4",8
"10,8",3
0,5
0,4
"2,4",13
0,9
0,9
"0,2",6
"3,4",8
101,3
0,8
0,6
0,14
0,8
"1,6",13
0,4
0,6
0,15
"52,8",13
"0,2",15
0,10
0,1
"8,8",5
"31,6",2
0,8
"3,4",8
0,17
"11,4",7
"16,6",11
0,8
0,12
"1,8",17
"0,8",23
"1,6",18
0,13
0,14
0,10
"14,4",8
0,29
0,27
0,15
0,7
0,12
3,8
"3,8",9
0,17
"31,8",3
2,11
0,19
0,21
"7,8",7
3,5
0,17
2,13
0,17
3,17
0,17
0,13
"25,2",9
14,11
"13,8",8
"12,6",6
0,12
0,14
0,11
10,14
12,17
21,10
7,12
0,18
"1,8",9
"1,6",14
"7,4",8
0,18
0,10
"1,8",12
4,23
0,18
0,12
"18,8",20
"27,8",24
"8,4",29
0,27
"1,6",17
0,7
"0,6",16
1,11
"17,2",23
2,22
"2,8",31
"0,4",23
0,23
30,15
"12,6",21
3,28
"1,2",19
"3,4",39
"9,8",27
0,16
2,14
0,14
0,29
0,26
0,33
0,23
2,25
0,17
"0,2",23
"0,4",29
"3,8",22
"5,4",32
0,34
"22,2",27
"0,4",13
0,15
0,29
0,25
0,29
0,28
0,25
10,19
9,20
"21,6",23
"25,6",19
"8,8",34
1,32
"0,4",23
0,15
0,17
"3,2",12
2,13
"2,8",22
0,15
0,18
"0,2",11
0,13
0,18
"31,4",19
26,17
0,23
"19,2",15
0,15
"5,6",15
0,26
0,27
0,25
8,23
"4,4",7
"26,4",11
"1,6",14
0,23
0,20
0,32
0,17
0,17
19,16
2,13
"3,2",23
0,32
"0,2",21
0,29
0,17
0,16
0,15
0,19
0,25
0,18
"20,2",22
0,15
"2,6",13
"3,8",7
"0,4",17
0,10
0,22
0,12
0,10
"4,4",13
"0,8",17
0,13
"10,4",19
"6,6",16
0,14
0,34
0,8
0,11
0,6
"1,8",5
0,6
"1,8",5
3,7
0,8
"0,2",10
0,6
0,10
"26,8",4
"11,4",6
0,4
0,6
"16,4",15
"19,8",10
0,9
0,6
0,6
0,9
0,12
0,20
"11,6",12
"0,8",6
0,4
26,9
"19,2",8
"1,8",8
"55,6",16
10,7
0,8
"7,4",7
"5,6",13
"12,6",7
26,10
"1,4",14
0,11
0,7
0,10
0,10
"16,4",10
"9,8",12
"1,8",22
"0,2",10
"0,2",14
7,9
0,9
"22,6",13
0,16
"47,2",16
"0,6",11
"44,8",6
"25,6",7
"14,6",10
11,6
"30,6",9
"1,4",6
"90,6",5
0,2
"0,4",8
0,4
0,12
"6,6",14
1,8
0,6
0,6
0,10
0,13
9,11
0,11
0,11
0,17
0,19
"2,4",6
"0,6",7
0,6
"0,2",7
0,8
0,21
0,10
0,13
0,14
0,12
0,15
0,19
0,19
0,13
0,14
0,10
0,8
0,22
"16,2",26
7,27
0,16
0,30
"48,4",20
"10,6",18
0,23
"54,2",32
0,41
8,33
"5,8",26
"0,2",23
0,21
0,46
0,53
"1,2",57
0,50
"10,4",42
"0,6",40
0,22
"0,6",66
0,49
0,47
"0,2",41
"30,6",48
"3,6",64
0,42
0,103
0,79
0,91
"11,4",95
0,83
0,75
"15,8",86
"5,4",139
"0,2",161
2,133
0,260
0,169
"6,8",122
"50,8",115
0,184
0,240
0,245
0,218
"1,6",186
0,128
"8,2",100
0,154
"8,2",214
0,241
"0,8",248
0,196
11,130
"5,6",127
0,258
"2,4",266
"0,8",205
0,212
33,165
"2,2",167
0,176
"11,4",205
"0,4",221
"3,2",207
"37,8",201
"4,8",153
"16,4",162
"11,2",223
0,394
19,428
21,360
"12,6",398
"3,4",363
"61,6",302
"14,2",373
"39,6",452
20,383
"6,8",401
"49,8",627
"24,8",418
3,458
0,324
0,456
0,411
0,384
0,419
0,438
0,368
0,259
0,378
0,392
"27,2",403
0,579
"1,2",364
"3,4",359
"31,2",269
16,324
0,374
"19,6",279
"16,2",328
"1,6",293
0,345
"3,8",205
0,328
0,341
"0,2",313
0,282
0,296
0,228
0,254
0,265
"1,2",281
"3,6",211
0,286
"34,4",259
1,274
0,276
"16,2",190
"17,2",247
"9,4",267
"0,6",206
"6,4",242
"8,2",189
"2,6",221
"38,4",196
"4,6",226
"21,8",217
4,246
0,200
0,190
0,167
0,175
0,230
"1,4",228
4,181
0,157
0,173
0,165
0,151
"0,4",168
"5,4",203
0,158
0,110
"2,4",139
"0,4",141
0,144
0,121
0,94
0,129
"87,6",112
"7,4",127
0,119
0,224
0,208
"15,4",163
"39,8",186
0,135
0,98
"0,2",111
"0,8",91
0,99
13,79
0,177
0,113
0,129
0,68
0,107
0,139
0,103
0,106
"1,4",120
"17,4",116
0,91
0,71
0,129
0,83
0,88
0,85
0,66
0,60
0,89
"31,8",71
"5,4",43
0,40
"0,8",46
0,49
0,34
0,54
0,53
0,40
0,43
0,20
0,12
0,24
0,30
66,26
"76,8",20
0,5
"0,2",8
0,8
"21,2",4
0,4
0,1
0,2
0,2
0,3
0,3
"0,4",4
"1,2",7
"18,4",2
0,5
"0,2",6
"0,2",3
0,4
0,4
10,5
0,1
0,3
"3,4",3
0,4
0,3
"19,4",5
0,2
0,1
0,5
0,3
"16,8",7
"12,6",3
"24,2",0
0,1
0,6
0,3
0,5
0,2
"0,4",7
0,8
0,4
0,4
"7,8",1
"0,4",6
0,2
0,3
0,4
0,4
0,1
0,3
0,1
"0,4",3
0,5
0,3
"2,4",4
"13,6",2
"0,2",3
"0,4",4
1,2
"5,4",3
48,10
0,3
"6,4",4
"9,2",1
"1,4",6
0,8
0,6
0,7
28,3
20,4
"8,6",3
"2,2",5
6,5
20,9
0,6
0,12
10,5
"0,2",10
0,9
"7,4",17
"1,8",11
6,4
2,7
"4,6",3
1,2
"0,6",7
0,21
0,10
"2,6",6
"1,2",5
"25,2",2
26,5
"0,8",10
"17,6",8
"0,8",13
3,10
"0,2",18
0,7
0,9
0,14
"6,4",15
0,17
0,18
3,12
0,7
"1,2",9
"8,8",15
10,20
"12,8",12
"2,2",14
"59,8",9
"25,2",13
"2,2",10
"3,6",14
0,18
0,15
"26,8",11
"9,2",14
0,11
0,8
18,3
"1,6",5
"3,8",12
0,16
0,12
"25,6",8
"10,2",10
"0,8",15
"0,6",4
"17,6",14
"11,6",10
0,9
0,15
0,12
"35,8",5
0,2
"0,2",11
"7,6",15
"6,4",14
0,12
"56,8",8
0,14
"12,6",10
"0,4",11
0,17
5,10
0,7
0,14
"26,6",10
1,9
"7,6",11
"0,2",24
0,9
0,15
0,17
0,14
"10,2",6
"28,4",8
"2,8",6
0,0
0,9
0,9
21,7
"11,6",4
0,5
0,1
0,4
0,5
"1,6",7
0,12
"0,4",9
0,6
0,11
0,7
0,5
0,11
0,10
0,7
0,9
0,5
"7,2",7
"13,6",9
"27,2",7
"3,8",6
0,1
"0,2",6
4,2
"20,6",2
"4,4",8
0,5
0,11
0,5
0,9
1,10
"19,4",6
0,7
"0,2",12
"0,2",11
1,6
"0,2",3
0,5
0,13
0,6
"0,8",22
"0,2",6
0,1
"34,2",1
0,6
0,4
3,3
2,2
"0,2",6
0,4
0,7
0,5
0,3
0,3
5,8
0,1
0,12
0,5
0,3
0,5
0,6
0,5
0,10
0,8
0,4
0,4
0,0
0,3
0,3
0,1
0,1
0,2
0,4
0,1
0,2
0,3
0,6
"0,2",12
0,2
0,1
0,0
0,1
0,3
0,0
0,1
0,1
0,7
0,1
0,4
0,7
0,5
0,8
0,6
0,2
0,2
0,9
0,6
0,5
0,12
0,7
0,2
0,3
0,4
0,8
0,6
0,13
0,11
0,8
0,1
"1,2",11
0,9
"1,4",6
"30,4",1
"1,6",3
"3,6",5
0,4
0,5
0,8
0,4
0,9
0,6
0,7
0,7
0,11
0,5
0,15
0,12
0,7
0,8
0,7
0,23
0,4
0,8
0,5
0,1
0,8
0,7
0,4
0,5
0,9
0,10
0,6
0,14
0,7
0,17
0,9
0,14
0,13
0,13
0,4
0,8
0,14
0,8
0,14
0,20
"32,6",7
"12,4",10
0,20
45,10
"8,8",13
0,11
0,12
0,9
0,11
15,7
0,10
0,7
0,2
0,5
0,6
"19,2",6
0,8
0,8
0,12
"1,2",8
0,5
"25,6",10
"1,4",12
36,7
"25,8",3
0,10
"0,2",8
0,13
"0,2",16
"21,8",9
0,5
"1,2",7
"27,2",13
0,2
0,9
0,12
"0,2",19
"43,6",7
"2,4",8
"39,2",9
0,8
"18,2",9
3,11
"2,4",8
0,9
0,15
0,8
0,8
"0,2",9
14,10
0,13
"46,6",8
"0,2",8
"0,8",14
"19,6",7
0,3
0,16
0,15
"31,2",13
"11,6",2
"31,4",4
0,7
"2,8",6
"48,4",9
0,24
0,8
"30,2",16
"7,6",7
0,11
"33,6",6
4,7
"2,4",12
0,3
"11,4",12
0,22
0,12
0,20
0,3
0,8
0,2
"1,8",13
"0,2",23
"20,6",9
"29,6",12
"5,6",13
"21,2",6
"11,4",7
"8,4",7
"14,4",5
"1,6",7
0,6
0,12
11,8
"10,4",8
0,5
"14,6",12
21,10
0,11
0,11
"15,8",10
"7,8",11
"4,6",13
"4,4",12
"0,6",7
"5,6",6
"4,8",9
0,7
"8,8",12
"2,2",23
"3,4",13
"8,2",9
0,21
0,17
1,20
0,10
0,20
"0,2",13
"1,2",8
"0,6",12
"3,8",10
"6,6",12
0,10
"2,4",11
11,7
"3,4",11
"6,6",12
0,1
0,6
0,9
0,5
0,16
0,8
"7,2",7
0,6
"1,6",13
0,8
"4,2",5
"7,6",8
"36,6",10
"0,8",12
"5,2",10
"8,2",9
"9,6",5
10,10
"73,8",10
27,7
0,19
0,8
0,7
"1,6",4
"3,4",17
"1,4",8
"1,4",12
0,10
0,10
0,5
0,6
0,12
0,13
0,20
0,22
0,11
0,3
5,7
"1,6",10
0,11
0,3
0,22
0,18
0,7
"15,6",7
0,11
"5,2",19
"0,2",19
"11,6",7
0,7
0,8
0,11
0,8
"0,6",12
"38,4",18
"2,6",8
"0,2",8
"16,4",7
0,1
"64,6",9
10,12
0,7
0,9
0,11
0,5
0,9
0,7
0,11
0,6
0,5
0,3
0,9
"0,2",6
0,4
"0,2",8
0,7
0,10
0,9
"1,8",12
"11,8",8
"0,2",6
0,18
0,9
0,14
0,7
"0,6",3
"0,2",6
0,4
0,4
0,6
0,12
0,4
0,5
"0,4",8
"1,4",8
0,9
0,5
0,21
0,8
16,4
0,3
0,14
0,4
"0,4",9
"0,6",4
0,9
"16,4",3
2,4
0,5
0,3
0,9
0,7
0,5
0,5
0,4
0,5
0,4
0,3
"0,2",2
"0,8",3
"3,8",1
"0,2",3
0,3
"0,2",5
"0,6",4
"0,2",4
0,2
0,3
0,4
0,2
0,2
"5,2",2
0,1
0,1
0,3
0,1
0,3
0,4
0,2
0,3
0,6
0,3
0,7
0,7
0,3
0,4
0,8
0,6
0,6
0,1
0,5
0,2
0,4
0,4
0,1
0,6
0,3
0,6
0,4
0,3
0,5
0,3
0,3
"0,2",3
0,1
0,3
0,0
0,8
0,4
0,3
"15,8",1
"0,4",0
"2,8",3
"0,2",6
"2,2",5
"1,1",4
0,0
"18,2",1
0,5
0,2
0,6
0,3
"1,8",2
"14,2",6
"14,6",3
1,1
"0,8",2
17,8
0,3
6,6
"55,2",11
"13,8",3
"13,6",4
"6,6",3
"3,8",2
"0,2",8
0,7
0,7
0,4
"17,4",4
0,4
"13,2",10
"0,2",12
8,5
0,8
"1,4",6
0,5
0,13
0,4
0,10
0,9
0,11
"0,2",9
0,8
23,6
0,1
20,8
0,4
0,13
0,11
"1,4",5
"32,2",8
"1,2",13
0,12
0,18
0,23
0,8
"7,2",18
"23,2",8
0,14
0,21
0,24
0,15
0,25
0,16
0,17
0,10
0,25
0,28
0,22
0,16
0,14
0,16
"0,2",13
0,28
"0,4",34
0,22
0,27
0,19
0,21
"2,2",15
"0,6",20
0,25
"0,2",20
"0,8",34
"0,4",40
"9,4",27
"22,2",24
"5,2",17
13,16
"11,2",25
0,28
0,22
0,32
"6,4",35
"0,8",44
"11,2",52
0,39
0,53
2,55
"0,8",40
0,52
0,63
"3,2",73
0,69
0,66
0,77
1,84
"2,6",90
"0,6",114
0,119
0,156
0,129
"54,2",123
0,120
"4,2",102
"1,6",169
"1,4",212
0,194
"8,2",210
"0,2",159
"0,4",140
0,151
0,155
"8,2",183
"15,8",210
0,192
0,156
0,157
"0,2",237
0,248
0,165
77,275
"3,4",201
53,212
19,215
0,219
0,306
0,224
0,245
0,209
0,207
0,216
0,167
0,306
0,304
"62,8",368
"11,4",311
"20,4",385
0,404
0,309
0,438
"24,2",363
0,465
"9,2",435
"0,4",413
"0,6",446
"27,4",400
"0,4",542
"15,8",542
2,569
"5,6",519
"0,8",398
"0,6",406
"0,4",484
"0,2",522
21,580
"1,2",405
"35,8",420
0,382
0,412
0,402
0,487
0,470
0,475
0,413
0,393
0,350
0,393
0,126
0,71
0,129
0,263
0,239
"31,8",183
2,234
0,414
0,479
0,490
0,351
0,359
0,379
"0,2",460
0,430
"7,6",422
0,337
0,384
0,287
0,327
0,312
"43,2",328
"16,4",286
"0,6",306
0,353
"0,4",289
0,263
"0,4",245
"1,8",387
0,295
"15,8",302
"36,6",273
0,275
14,281
"1,2",285
0,296
0,420
"6,4",345
0,353
0,303
0,307
0,162
"0,4",304
"0,8",233
0,195
0,246
0,266
0,196
0,227
0,219
0,232
0,168
0,195
1,98
"0,2",135
0,136
0,113
0,162
0,149
0,169
0,96
0,100
0,93
